Date,Open,High,Low,Close,Volume,Volume Weighted Average,Transactions,Sentiment (Avg),Number of Articles,Mean,Cumulative Return,Variance,STDDEV,Median,SMA,EMA,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV,Year,Month,Day,Day of Week
2024-12-09,227.21,230.08,225.67,226.09,43601314.0,227.8252,572674.0,0.1782992,15.0,0.0138867472773744,0.1469663149350648,0.0001621101876159,0.0127322499039227,0.0132605308770786,221.054,221.3654,90.226,91.4613,84.5939,67.477,100.862,0.0,100.0,231.1605,221.054,210.9475,37463494584.1272,27036613088.0,2024.0,12.0,9.0,0.0
2024-12-06,220.75,227.15,220.6,227.03,42907683.0,224.9967,524277.0,0.1307694166666666,12.0,0.013665644802599,0.1444198003831029,0.0001705218678229,0.0130584021925725,0.0132605308770786,217.978,219.0032,92.7559,91.0548,89.7381,62.1363,115.0604,0.0,100.0,229.3623,217.978,206.5937,37501395973.2224,27083432451.0,2024.0,12.0,6.0,4.0
2024-12-05,218.03,222.15,217.3,220.55,37055553.0,220.1345,463345.0,0.1711639999999999,15.0,0.0085094755934166,0.0870958201892742,0.0002477335786977,0.0157395545901972,0.0119557289560604,214.15,214.9898,91.4019,90.8309,84.5602,56.0812,99.2195,20.0,100.0,223.4695,214.15,204.8305,37458836642.6286,27039254382.0,2024.0,12.0,5.0,3.0
2024-12-04,215.96,220.0,215.75,218.16,47021301.0,218.1622,553200.0,0.1711553076923076,26.0,0.0065684384020348,0.0662235472362053,0.0002721474815992,0.0164968930892832,0.0117031391738976,211.188,212.2096,89.0066,89.5354,81.8594,50.0001,134.9929,0.0,100.0,219.8813,211.188,202.4947,37444840485.309,26998114162.0,2024.0,12.0,4.0,2.0
2024-12-03,210.31,214.02,209.65,213.44,31257737.0,212.615,379261.0,0.1927064999999999,20.0,0.0057997808369155,0.0582052553296972,0.0002535666522015,0.0159237763172414,0.0117031391738976,209.128,209.2345,92.0843,90.7222,74.9311,43.2633,100.0098,0.0,100.0,214.4733,209.128,203.7827,37438302824.5748,26949368446.0,2024.0,12.0,3.0,1.0
2024-12-02,209.96,212.99,209.5101,210.71,38327547.0,210.9733,461702.0,0.2200748235294118,17.0,0.0040550225255418,0.0399782834016089,0.0002559918575963,0.0159997455478634,0.0029793476170292,206.73,207.1317,87.5154,86.7046,69.5501,38.5706,144.9653,0.0,100.0,212.8828,206.73,200.5772,37414639301.0325,26917153618.0,2024.0,12.0,2.0,0.0
2024-11-29,205.83,208.2,204.59,207.89,23383406.0,206.6868,263661.0,0.1991560769230769,13.0,-0.0014957141252361,-0.016975600529601,0.0004277146800716,0.0206812639863144,-0.0054214170564604,204.012,205.3425,92.5669,76.7426,62.9841,33.6335,67.1104,0.0,100.0,212.3496,204.012,195.6744,37426906605.2994,26877630433.0,2024.0,11.0,29.0,4.0
2024-11-27,206.98,207.64,205.05,205.74,26842190.0,206.1141,350335.0,0.1923650588235294,17.0,-0.0037644496183584,-0.0390471742176555,0.0004198354205334,0.02048988581065,-0.0074032782196758,202.11,204.0688,80.0313,56.634,57.3785,33.4278,85.9986,20.0,80.0,210.3798,202.11,193.8402,37406289315.4019,26852737986.0,2024.0,11.0,27.0,2.0
2024-11-26,201.9,208.0,201.79,207.86,41213929.0,206.2563,496315.0,0.2227256,15.0,-0.0002602089735133,-0.0050260877890002,0.000485255107946,0.0220285067116698,-0.0054214170564604,201.538,203.2332,57.6295,36.7331,65.1628,34.0977,144.5057,40.0,100.0,209.0888,201.538,193.9872,37419399192.6143,26880799624.0,2024.0,11.0,26.0,1.0
2024-11-25,199.28,201.9499,199.0,201.45,38474372.0,200.8087,427319.0,0.1887033076923076,13.0,-0.0024413664289926,-0.0260587894024368,0.000388131174591,0.0197010450126651,-0.0054214170564604,200.888,200.9198,32.2411,26.4893,48.1468,34.9352,12.8723,60.0,20.0,206.4468,200.888,195.3292,37379604464.69,26839125887.0,2024.0,11.0,25.0,0.0
2024-11-22,198.25,199.2599,196.75,197.12,30269347.0,197.606,402636.0,0.152349875,16.0,-0.0052816716663745,-0.0531271015467382,0.0003220866487431,0.0179467726553603,-0.006394092078587,200.938,200.6547,20.3287,23.6125,29.5514,40.2317,-109.7991,80.0,0.0,206.5205,200.938,195.3555,37352708254.9991,26798440215.0,2024.0,11.0,22.0,4.0
