Date,Open,High,Low,Close,Volume,Volume Weighted Average,Transactions,Mean,Cumulative Return,STDDEV,Median,SMA,EMA,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2024-12-09,339.91,340.16,309.68,310.52,16805448.0,320.3113,302359.0,0.0034987013567667,0.0193014705882355,0.0559800484378335,0.0219573035343629,323.0,320.2559,53.5664,67.7822,46.2728,53.656,-29.6559,20.0,80.0,348.8644,323.0,297.1356,-50399232.2309,108889489.0
2024-12-06,328.555,349.75,325.499,343.62,16673009.0,338.9665,271862.0,0.0163187806501253,0.1639061071029366,0.0453144594143452,0.0239323159819483,321.376,325.1238,77.2285,74.1914,71.4655,61.8266,105.1114,0.0,100.0,350.9277,321.376,291.8243,-34360043.5695,125864297.0
2024-12-05,343.36,349.4928,315.17,320.57,19571690.0,333.5299,345633.0,0.0013849553873477,0.0017499453142089,0.0489938493604552,0.0219573035343629,311.892,315.8757,72.5516,64.6979,59.0429,56.449,97.4918,0.0,100.0,336.8869,311.892,286.8971,-42646710.1363,109105065.0
2024-12-04,312.0,332.0,309.12,330.94,15752166.0,322.5921,258057.0,0.0031135181455558,0.0196259666635858,0.0481058384872171,0.0219573035343629,309.974,313.5285,72.7941,54.4349,70.0133,49.755,166.6667,0.0,100.0,333.4357,309.974,286.5123,-29097590.906,128874978.0
2024-12-03,296.782,314.43,296.65,309.35,10035936.0,308.334,171308.0,-0.0041237675748413,-0.0493531237515747,0.0426666292391484,0.0091752219674215,302.444,304.8228,48.7481,39.8755,56.5745,43.8223,73.024,20.0,0.0,316.3965,302.444,288.4915,-43431797.4655,113076970.0
2024-12-02,302.03,311.47,299.5,302.4,11176133.0,304.9276,184780.0,-2.675618841110339e-05,-0.0112800392349192,0.0468361253523584,0.0091752219674215,303.018,302.5591,41.7626,35.5006,50.9087,42.2016,18.2526,40.0,20.0,318.2383,303.018,287.7977,-47747229.7512,103007628.0
2024-11-29,311.95,316.3,295.81,296.2,9497396.0,305.2804,168000.0,0.0075666221279106,0.0622579256921533,0.0550531536025715,0.0111502344150068,303.466,302.6387,29.1158,30.8811,45.8683,41.8353,-10.047,0.0,0.0,318.719,303.466,288.213,-41963247.0127,91786514.0
2024-11-27,302.78,314.29,295.36,310.98,13118476.0,306.2356,206130.0,0.010254152494213,0.0922309637538627,0.0529124050341719,0.0111502344150068,303.272,305.858,35.6236,32.7344,57.0365,41.3775,70.1245,20.0,0.0,318.9095,303.272,287.6345,-32776563.1884,101336750.0
2024-11-26,298.26,309.1999,289.125,293.29,13053045.0,299.2259,207441.0,-0.0065598601098678,-0.0809701375614951,0.0605033044272627,-0.0083153582563439,305.078,303.2971,27.904,35.0047,43.975,41.673,-100.515,40.0,20.0,325.2791,305.078,284.8769,-41419464.2607,88045920.0
2024-11-25,309.0,317.46,291.2,312.22,14486996.0,307.9323,241799.0,-0.0020728207243055,-0.0370713052060203,0.0579363352274378,-0.0083153582563439,311.334,308.3006,34.6757,46.1024,59.4466,44.1755,-37.3092,0.0,40.0,332.4129,311.334,290.2551,-33687541.3141,101261663.0
