Date,Open,High,Low,Close,Volume,Volume Weighted Average,Transactions,Mean,Cumulative Return,STDDEV,Median,SMA,EMA,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2024-12-09,175.715,178.04,175.4,177.1,18569567.0,177.019,229160.0,0.0063001143692418,0.0644173620700006,0.0087188279717553,0.0058065223520095,175.2441,175.3183,76.4118,78.3057,69.198,35.7548,135.0582,0.0,100.0,178.3542,175.2441,172.134,2864565391.3187,3043088936.0
2024-12-06,173.88,176.8389,173.55,176.49,12755364.0,176.085,170359.0,0.0042635236341187,0.0428385724415028,0.0109688167131415,0.0040978725353495,174.3811,174.4274,80.4095,81.9722,66.0447,31.9988,70.3146,0.0,80.0,177.3435,174.3811,171.4187,2858840119.5914,3023201150.0
2024-12-05,177.32,177.71,174.01,174.31,15534039.0,175.0528,187379.0,-0.0015492375969964,-0.0170303953081822,0.0181267842132992,0.0007017180640317,173.1824,173.4957,78.0957,82.8677,56.4446,30.3371,86.9424,20.0,100.0,176.8499,173.1824,169.515,2848346555.356,3009881601.0
2024-12-04,172.78,176.43,172.75,176.09,16192287.0,175.5482,180244.0,-0.0017913143590294,-0.0194342354382447,0.0182551827585786,0.0007017180640317,172.4852,173.1868,87.4112,81.9779,69.2301,25.8625,121.0263,40.0,100.0,176.4896,172.4852,168.4808,2861873882.9236,3026027121.0
2024-12-03,173.12,174.32,172.51,173.02,15157993.0,173.0622,160590.0,-0.0019932775144933,-0.0213800904977374,0.0180479397236468,0.0007017180640317,171.3924,171.8346,83.0961,72.2582,55.2413,22.6245,112.0492,0.0,100.0,173.7086,171.3924,169.0763,2847004446.5105,3007787279.0
2024-12-02,170.32,173.6,170.27,172.98,15404994.0,172.7347,187821.0,-0.0003429298400735,-0.0052331933981252,0.0189098760413649,0.0040978725353495,170.6753,171.3394,75.4263,57.8768,55.0282,23.4074,160.5326,0.0,100.0,172.9939,170.6753,168.3567,2853866309.2564,2992065796.0
2024-11-29,170.06,170.87,168.75,170.49,8355812.0,170.259,106047.0,-0.0037543705169675,-0.0386805751339158,0.0189825463431032,-0.0003798312870142,169.3947,170.6167,58.2524,41.0328,41.0504,26.2848,36.4959,0.0,0.0,172.5572,169.3947,166.2322,2843451805.3645,2975472352.0
2024-11-27,170.68,171.14,169.67,170.82,11473267.0,170.7127,151374.0,-0.0053008932784553,-0.0535763754224609,0.0193965343721698,-0.0056785196795884,169.145,170.7763,39.9517,28.5766,42.4492,27.0008,65.7693,20.0,0.0,172.1773,169.145,166.1127,2837517386.3456,2984723064.0
2024-11-26,169.49,171.495,169.43,170.62,14058215.0,170.604,193040.0,-0.0069618614669411,-0.069277765655684,0.0194820865001907,-0.0139833606220172,170.4455,170.8507,24.8943,25.7562,41.4824,30.2156,-6.0717,40.0,0.0,177.6344,170.4455,163.2567,2830497183.6721,2972289693.0
2024-11-25,167.99,170.46,167.4,169.43,18989585.0,169.2641,244289.0,-0.006922335892032,-0.0689124580974883,0.0195108000261909,-0.0139833606220172,172.2355,171.0623,20.8838,34.7073,36.3963,34.2341,-48.9397,60.0,20.0,182.3689,172.2355,162.1021,2828218585.3332,2957352215.0
2024-11-22,167.16,168.2645,165.71,166.57,23446733.0,166.8668,321715.0,-0.0074661970893381,-0.0738908039586342,0.0188978214207084,-0.0139833606220172,173.7078,171.974,31.4905,46.0509,23.6346,36.5297,-108.6904,80.0,40.0,183.811,173.7078,163.6046,2821226542.1959,2935956563.0
2024-11-21,175.455,175.58,165.31,169.24,36226068.0,168.2341,531658.0,-0.0072161836950919,-0.0715382927364494,0.0188025233560125,-0.0129027565673133,175.1702,174.77,51.7475,48.3707,27.8005,33.3464,-139.6716,100.0,0.0,182.2827,175.1702,168.0577,2829229196.942,2960453605.0
2024-11-20,178.83,179.11,175.33,177.33,14429930.0,176.8894,191057.0,-0.0004390731930494,-0.0056075814501205,0.0156954901808322,-0.0025552147919066,176.7903,177.6304,54.9148,38.0782,48.5396,29.3672,26.3471,40.0,0.0,180.4303,176.7903,173.1504,2838343415.9011,2999293036.0
2024-11-19,175.235,180.17,175.116,179.58,13940064.0,178.5251,195648.0,0.0048509543146916,0.0476634968788285,0.0192430079639801,0.0095750759502449,177.4216,177.8807,38.4498,26.1977,58.1996,32.5154,27.2821,60.0,0.0,182.0413,177.4216,172.802,2837427924.5466,3015022842.0
2024-11-18,174.955,176.91,174.42,176.8,12675657.0,176.0112,184206.0,0.0037062570855088,0.0358565737051794,0.0188995685696736,0.0058479074531004,178.1688,177.1323,20.8699,28.9169,47.9633,36.4506,-55.7657,80.0,20.0,184.6467,178.1688,171.6909,2825628960.7785,2999629976.0
2024-11-15,175.64,175.88,172.745,173.89,20654786.0,174.0343,262244.0,0.000891748570892,0.0071821604401971,0.0188454076908848,-0.0035666790937474,179.2016,177.3982,19.2732,46.2176,34.5391,42.0217,-129.4484,100.0,40.0,185.9894,179.2016,172.4139,2808557993.7344,2980904554.0
2024-11-14,179.75,180.445,176.03,177.35,15932390.0,177.4544,239021.0,0.0028195301379538,0.0269847703978229,0.0176050668468607,0.0020226903390855,180.3943,179.2504,46.6075,69.3917,45.7706,46.0253,-157.9945,100.0,60.0,184.4293,180.3943,176.3593,2814409347.8492,3002613424.0
2024-11-13,182.15,182.615,180.12,180.49,13544617.0,180.9447,208754.0,0.0026005694686888,0.0246962643351882,0.017866817291498,0.0020226903390855,181.3792,180.3006,72.7721,84.0716,59.9158,57.3768,-40.6524,0.0,80.0,183.8769,181.3792,178.8814,2821616194.8084,3020539187.0
2024-11-12,181.38,184.025,180.99,183.32,13150646.0,182.6792,205182.0,0.0070659027724769,0.0711698025008766,0.0183734621363139,0.0058479074531004,180.9477,180.3077,88.7955,90.2089,77.0946,57.513,103.9988,0.0,100.0,184.5519,180.9477,177.3434,2831442583.3034,3034508896.0
2024-11-11,180.07,182.085,179.99,181.97,12244665.0,181.4446,167409.0,0.0079873227060672,0.080967090412261,0.018597730667025,0.0080041781057689,178.5683,178.9049,90.6473,83.697,74.2804,53.5641,61.4089,0.0,60.0,186.4644,178.5683,170.6723,2823911447.1831,3020443051.0
2024-11-08,182.0,182.35,179.57,179.86,14596943.0,180.3466,203990.0,0.0076226196883892,0.0770704832624709,0.0185564475844989,0.0061806630173788,176.3129,177.475,91.1839,67.1948,69.6122,50.167,69.339,20.0,80.0,185.5901,176.3129,167.0357,2812780715.9039,3007939629.0
