Date,Open,High,Low,Close,Volume,Volume Weighted Average,Transactions,Mean,Cumulative Return,STDDEV,Median,SMA,EMA,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2024-12-09,138.97,139.95,137.13,138.81,180194359.0,138.8311,1525627.0,-0.0019925890817615,-0.0220530528791644,0.0216262600297412,0.0011331754013896,142.3381,141.2157,52.2544,74.3423,38.0995,22.7876,-96.6555,100.0,60.0,147.3993,142.3381,137.2768,69457140712.85,162715118924.0
2024-12-06,144.6,145.7,141.31,142.44,179951412.0,143.1441,1299130.0,-0.0026622563120785,-0.0287733047993313,0.0224319999549995,0.0011331754013896,142.3002,142.4185,78.0879,85.678,53.3642,22.4668,30.1099,0.0,80.0,147.4682,142.3002,137.1321,69420890125.084,162904427549.0
2024-12-05,145.11,146.54,143.95,145.06,171582324.0,145.2429,1149095.0,-0.0003214577390502,-0.0056206731098771,0.0219183860428,0.0040475688475438,141.4602,142.4077,92.6847,82.4735,69.4251,25.3806,101.1806,0.0,100.0,147.5477,141.4602,135.3728,69512351826.7902,163092933122.0
2024-12-04,141.995,145.79,140.29,145.14,218955288.0,143.6691,1465893.0,-0.0010350813783724,-0.0127202231140736,0.0220279033645489,0.0040475688475438,139.5144,141.0816,86.2614,65.5132,69.8746,20.6486,148.2164,20.0,100.0,145.9643,139.5144,133.0644,69537011995.3616,163265554302.0
2024-12-03,138.26,140.54,137.95,140.26,158521234.0,139.4004,1061983.0,0.0003804214244087,0.0007848733499822,0.024590435615147,0.0040475688475438,137.8705,139.0574,68.4742,44.0967,52.8501,15.7754,94.2472,40.0,0.0,141.1853,137.8705,134.5557,69360440715.5434,163034330007.0
2024-12-02,138.83,140.45,137.825,138.63,163961813.0,138.8918,1190729.0,-0.0020842841828143,-0.0235948725172556,0.0245617209134705,-0.0024349427952213,137.0226,138.4609,41.8038,24.0738,44.4638,19.2045,98.9454,60.0,0.0,139.5422,137.0226,134.5029,69231575715.9488,162869916042.0
2024-11-29,136.78,139.35,136.05,138.25,135827085.0,138.1501,904916.0,-0.0056161668200511,-0.0579858272008719,0.0261037778935246,-0.0095790572554809,137.6865,138.3812,22.0121,14.4643,42.5583,23.2416,-12.4378,80.0,0.0,142.3651,137.6865,133.0079,69297959723.0555,162698233265.0
2024-11-27,135.01,137.22,131.8,135.34,221904495.0,133.7373,1739244.0,-0.0074313102837265,-0.0747248239556982,0.0247510680592593,-0.0095790572554809,139.3704,138.4516,8.4053,17.3658,27.2706,25.5691,-86.9119,100.0,20.0,148.0144,139.3704,130.7264,69250672004.3888,162556370109.0
2024-11-26,137.7,139.3,135.67,136.92,186931044.0,137.0189,1421243.0,-0.0076395474654243,-0.0766740845640298,0.0247934795007091,-0.0102538343335706,141.4802,140.012,12.9754,32.8678,30.8353,22.912,-89.4626,100.0,40.0,150.2982,141.4802,132.6622,69181340691.8575,162782741021.0
2024-11-25,141.99,142.05,135.82,136.02,314972791.0,137.3757,2405385.0,-0.0062152999560833,-0.0636100784799666,0.0259534531487647,-0.0102538343335706,143.4981,141.5627,30.7167,52.4527,26.4545,25.9194,-158.1902,100.0,60.0,151.813,143.4981,135.1832,69240576242.5517,162592453367.0
2024-11-22,145.93,147.16,141.1,141.95,232068315.0,142.8986,1870108.0,-0.0036431374209983,-0.0384745647903542,0.0234562113430101,-0.0102538343335706,144.3241,144.3388,54.9112,62.0702,39.7133,29.9561,-21.0198,20.0,80.0,149.8538,144.3241,138.7943,69563370966.6688,162937395242.0
2024-11-21,149.35,152.89,140.7,146.67,395864751.0,145.9564,2913552.0,-0.0012646311059703,-0.0148441698011821,0.0215720674851254,-0.0080072764974736,144.3301,145.5381,71.7302,57.6338,58.3282,27.701,85.7638,40.0,100.0,149.8495,144.3301,138.8106,69733458562.616,163173801396.0
2024-11-20,147.41,147.56,142.73,145.89,304732523.0,144.7035,2398809.0,0.0004464443821838,0.0019229448526882,0.0226788089971137,-0.0080072764974736,144.348,144.9772,59.5692,44.3132,55.5753,24.8822,42.4972,60.0,0.0,149.8983,144.348,138.7978,69741681420.9015,162772854826.0
2024-11-19,141.32,147.13,140.99,147.01,224084187.0,144.5783,1571495.0,0.0052823449193882,0.0507469087270384,0.025432242566362,-0.0025230272041131,144.424,144.5258,41.602,37.2183,60.139,29.5393,19.7749,80.0,0.0,150.0658,144.424,138.7823,69646089544.2017,163082726480.0
2024-11-18,139.5,141.55,137.15,140.15,216466599.0,139.6616,1762470.0,0.0032247815091553,0.0301359794193309,0.0224769478492583,-0.0025230272041131,144.68,143.2888,31.7684,42.9121,33.3007,36.201,-113.9307,100.0,20.0,150.8568,144.68,138.5033,69427160231.3678,162854891568.0
2024-11-15,144.87,145.24,140.08,141.98,248079941.0,142.3351,1862593.0,0.0049937545248899,0.0485967503692756,0.0218258193926189,0.004075280038463,145.702,144.863,38.2846,53.2498,38.8885,31.5834,-157.164,100.0,0.0,149.9148,145.702,141.4891,69346481688.4588,163076757561.0
2024-11-14,147.64,149.0,145.55,146.76,188152423.0,147.3295,1304733.0,0.0102393235543002,0.1054534498342871,0.0181637521347828,0.0123430492624934,146.8319,146.3094,58.6833,66.0133,59.8874,29.5691,-11.823,40.0,20.0,148.9397,146.8319,144.7241,69412408181.0634,163326890430.0
2024-11-13,149.07,149.33,145.9,146.27,182678299.0,147.1498,1330793.0,0.0051854835547628,0.0497721319122974,0.0250884230102674,0.0123430492624934,147.2558,146.0891,62.7814,74.0441,58.0288,32.0676,-21.2559,0.0,40.0,149.9093,147.2558,144.6024,69470465340.4924,163132427129.0
2024-11-12,146.78,149.65,146.01,148.29,193657762.0,147.9791,1464040.0,0.005191927039993,0.0498407079646014,0.0250835996595001,0.0123430492624934,147.1239,146.0037,76.5752,84.0572,68.4954,33.6101,57.0614,0.0,60.0,150.0171,147.1239,144.2306,69620966736.4778,163324330396.0
2024-11-11,148.68,148.85,143.57,145.26,179228758.0,145.5668,1521336.0,0.0036255111324998,0.0337318531169938,0.0245395014064235,0.0049977904394775,145.448,144.8657,82.7758,90.5278,59.7928,35.1142,19.8856,0.0,80.0,151.597,145.448,139.2989,69570762352.1482,163125695658.0
2024-11-08,148.77,149.77,146.26,147.63,171956029.0,147.7028,1367136.0,0.0045102315549369,0.0430267062314539,0.0239668645007442,0.0049977904394775,143.6061,144.6735,92.8205,88.1719,72.2879,38.5339,71.7854,0.0,100.0,153.3533,143.6061,133.8589,69636371950.2542,163308021278.0
2024-11-07,146.39,148.93,146.17,148.88,199957957.0,147.9973,1460634.0,0.0061546199031614,0.0603233387935329,0.0235860323077231,0.006621424938024,141.1603,143.2003,95.9871,75.3505,79.2782,33.8016,108.6633,0.0,100.0,151.7521,141.1603,130.5685,69674908328.9152,163483687108.0
2024-11-06,142.96,146.49,141.96,145.61,237008829.0,144.5965,1849026.0,0.0045179520580287,0.0433505302378902,0.0229574623526911,0.0056427802005032,137.9365,140.3656,75.7082,51.5816,74.0206,28.7375,143.2842,20.0,100.0,146.8607,137.9365,129.0123,69475096739.792,163276363805.0
2024-11-05,137.45,140.3701,137.33,139.91,157688953.0,139.313,1158103.0,-0.0023626976750687,-0.025628525663347,0.0213229018840115,0.0049977904394775,136.6816,137.7485,54.3561,34.0924,59.7957,25.0321,91.0145,40.0,0.0,141.9639,136.6816,131.3993,69327091943.4013,163034319860.0
2024-11-04,137.21,138.96,135.57,136.05,185086007.0,137.4047,1369126.0,-0.005283391379884,-0.0533017883237075,0.0187591947932379,0.0019827879406325,136.9496,136.6725,24.6806,26.7202,42.8402,30.2299,-13.8764,60.0,0.0,142.9456,136.9496,130.9535,69215147212.2994,162873782487.0
2024-11-01,134.7,137.31,134.57,135.4,203091537.0,136.0279,1423892.0,-0.0016257693046587,-0.0188405797101454,0.0233683113309186,0.0021799875381603,137.8435,136.9885,23.2405,33.5247,39.3972,31.9065,-62.4826,80.0,0.0,144.3426,137.8435,131.3444,69349570061.972,162686254314.0
2024-10-31,137.6,137.61,132.1106,132.76,263755833.0,133.7246,1998813.0,-0.0028328989088639,-0.0304535163952385,0.022522402909962,0.0021799875381603,139.0714,137.7874,32.2397,43.4898,24.6495,27.5347,-149.36,100.0,20.0,145.5728,139.0714,132.5701,69431211691.5486,162479126476.0
2024-10-30,139.54,140.33,136.81,139.335,173108363.0,139.3017,1306138.0,0.0027774855759585,0.0266357206012377,0.0171126615117202,0.0056427802005032,140.6013,140.3057,45.0939,49.0126,47.8497,22.07,-127.7965,100.0,40.0,142.137,140.6013,139.0656,69637475741.4422,162749166117.0
2024-10-29,140.285,142.2598,138.9,141.25,151620943.0,140.9896,1162989.0,0.0072639368764938,0.0733282674772033,0.0180948876311756,0.0069523910024927,140.6463,140.7958,53.1359,49.3243,61.2911,23.0512,-1.3318,20.0,0.0,142.036,140.6463,139.2566,69559490041.0274,162928584199.0
2024-10-28,143.0,143.14,140.05,140.52,167520099.0,141.1758,1258016.0,0.0020584090468354,0.0177446222930395,0.0243483584447716,0.0069523910024927,141.1143,140.5736,48.8079,50.8348,57.6643,27.5888,-4.3233,40.0,20.0,143.8817,141.1143,138.3468,69496627076.4799,162770990565.0
2024-10-25,140.93,144.13,140.8,141.54,199161159.0,142.5583,1410829.0,0.0052048694113967,0.0499999999999996,0.0249728150659907,0.0079310357400136,141.7522,140.6052,46.0291,60.0283,64.41,29.5508,41.3378,0.0,40.0,145.0821,141.7522,138.4223,69617407497.7582,162944577310.0
