Date,Open,High,Low,Close,Volume,Volume Weighted Average,Transactions,Mean,Cumulative Return,STDDEV,Median,SMA,EMA,SlowK,SlowD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2024-12-09,496.52,497.0,481.0,482.52,2867249.0,487.4724,56973.0,0.0017069531600013,0.0157460424385316,0.0168982807122037,0.005279504638995,494.072,489.6475,52.1844,69.7708,45.4529,59.0252,-76.6006,0.0,40.0,507.4624,494.072,480.6816,90016368.3803,240428144.0
2024-12-06,495.22,499.02,487.69,498.63,1828327.0,493.9706,41316.0,0.0058598367135832,0.0593371574251115,0.0125795558225777,0.0080800477416385,493.622,493.2113,75.1977,80.8867,72.0638,68.7376,56.6847,20.0,60.0,508.593,493.622,478.651,92368003.3103,243331397.0
2024-12-05,492.6,495.06,480.66,493.51,2227383.0,489.2738,53644.0,0.0049691757879632,0.0499989361928465,0.0125436182063912,0.005279504638995,489.288,490.5019,81.9304,80.6073,67.1781,73.3998,29.9724,40.0,80.0,508.0238,489.288,470.5522,90653530.5389,241490167.0
2024-12-04,493.5,506.4729,490.2277,502.38,2476017.0,500.8079,59511.0,0.0080671562620411,0.083112347196171,0.0101752278446761,0.0080800477416385,485.634,488.9979,85.532,72.7536,88.6704,80.8948,132.405,60.0,100.0,506.6397,485.634,464.6283,88894930.3723,243731215.0
2024-12-03,477.28,494.0,477.0,493.32,2116482.0,488.521,50922.0,0.0083148705135958,0.0857469847697862,0.0104493802263522,0.0080800477416385,480.48,482.3068,74.3597,62.8397,84.6601,77.7787,166.6667,0.0,100.0,493.7385,480.48,467.2215,87660060.4442,241242108.0
2024-11-29,475.72,478.87,473.33,476.96,965642.0,476.2061,22600.0,2.2891358052368192e-05,-0.0011308900523558,0.0163855307497543,0.0025436389211201,477.046,475.0654,55.7904,67.2252,69.8843,73.0713,-34.6292,0.0,40.0,481.63,477.046,472.462,84551262.9548,237041648.0
2024-11-26,477.55,482.72,474.335,476.61,2604377.0,477.9258,48013.0,0.0135562887325676,0.1364362526526621,0.0379260947665278,0.0112720786377429,474.748,473.5571,78.6806,79.3206,70.979,70.3425,72.9501,0.0,80.0,483.0604,474.748,466.4356,85532155.3483,238106076.0
2024-11-25,483.35,485.46,466.88,481.38,24848773.0,480.2951,90293.0,0.0167900529551934,0.173553719008265,0.0371583267430606,0.0133350458129647,472.192,472.0307,85.987,72.9605,82.0369,68.8138,103.292,20.0,100.0,483.8347,472.192,460.5493,86749107.6428,240766870.0
2024-11-22,471.81,480.09,469.49,475.04,2291597.0,476.3003,48146.0,0.0178288936118299,0.1855845063392238,0.0371927253520735,0.0170831754203396,466.788,467.356,73.2942,60.6785,78.4704,66.903,97.5341,40.0,100.0,481.1264,466.788,452.4496,71221324.5901,213079134.0
2024-11-21,468.22,473.62,465.5035,470.7,2179278.0,470.8181,42550.0,0.01711694662781,0.1772208883553427,0.0374181552954503,0.0170831754203396,463.444,463.514,59.6001,54.0313,75.8439,65.5151,98.6534,60.0,0.0,476.2404,463.444,450.6476,71113012.9391,210782927.0
2024-11-20,467.78,473.0,460.6487,470.01,2377921.0,468.0102,48508.0,0.0191891820424086,0.2015799161468461,0.0370662839073065,0.0212584900332469,464.804,459.921,49.1411,56.9118,75.4632,65.1298,31.188,0.0,20.0,481.3051,464.804,448.3029,70501068.1984,208601135.0
2024-11-19,454.3,465.21,450.0,463.83,2780430.0,458.4145,49995.0,0.0200861050187698,0.2122154561848264,0.0370219952565695,0.0219324421710735,464.276,454.8764,53.3527,67.526,72.3396,64.7738,-47.1585,0.0,40.0,480.2371,464.276,448.3149,69270055.2291,206214713.0
2024-11-18,460.64,460.64,452.49,454.36,2943686.0,455.3837,55751.0,0.0192990775286878,0.2028697747068015,0.0370811573448323,0.0219324421710735,455.388,450.3996,68.2417,80.6877,67.2245,65.8428,3.0215,0.0,60.0,494.7633,455.388,416.0127,66978481.7083,203415128.0
2024-11-15,474.0,474.0,457.54,458.32,3009781.0,463.037,64872.0,0.018402374445499,0.1919895968790639,0.0378464725239655,0.0219324421710735,446.554,448.4195,80.9837,89.5219,71.6574,68.0964,44.4603,0.0,80.0,500.1422,446.554,392.9658,68574824.3304,206365285.0
2024-11-14,471.0,489.69,466.36,477.5,5038469.0,480.4788,98098.0,0.0222633246848466,0.2399376785250588,0.0333803365550728,0.0219324421710735,435.026,443.4692,92.8376,92.9241,96.2498,67.4063,101.7264,0.0,100.0,497.5792,435.026,372.4728,71312363.492,209389439.0
2024-11-13,460.26,473.0,445.0001,467.37,11967451.0,461.2133,193020.0,0.0178320325774501,0.1861580630424855,0.0360026767668569,0.017581318428943,419.494,426.4538,94.7445,90.9578,95.6137,60.4424,166.6667,0.0,100.0,469.4454,419.494,369.5426,71539204.5379,204349247.0
2024-11-12,415.81,420.0,411.4,419.39,6575760.0,423.8888,128966.0,0.0071047426934761,0.0719781202872991,0.0161229353762094,0.0100517918990741,404.252,405.9957,91.1901,87.5672,87.7258,52.0644,113.1362,20.0,100.0,423.6023,404.252,384.9017,64335781.6248,192300482.0
2024-11-11,405.11,412.95,404.79,410.19,3284153.0,409.6757,59324.0,0.0066492664548694,0.067202622541368,0.0157434697224071,0.0100517918990741,396.9,399.2986,86.9388,79.5047,83.0501,45.133,101.9633,40.0,100.0,415.5791,396.9,378.2209,58674908.0016,185703800.0
2024-11-08,399.15,405.93,397.33,400.68,2010356.0,402.1979,45380.0,0.0056472540304376,0.0567570418820551,0.0149215804666027,0.0100517918990741,390.408,393.8529,84.5726,63.6624,75.2549,38.1471,95.2875,60.0,100.0,408.6567,390.408,372.1593,57610540.5604,182413937.0
2024-11-07,399.0,403.76,391.42,399.84,2692096.0,399.3512,55872.0,0.0060448065823842,0.0609493989970013,0.014874684005937,0.0100517918990741,387.172,390.4393,67.0026,41.7132,74.4237,31.8364,162.9767,80.0,100.0,402.49,387.172,371.854,58060852.9325,180375681.0
2024-11-06,386.1,392.12,376.04,391.16,2026570.0,385.7605,46757.0,0.0030438576088044,0.0298020219039598,0.0143318953682891,0.0066038604065209,384.224,385.7389,39.412,27.0883,64.592,24.842,66.0023,100.0,0.0,392.8803,384.224,375.5677,57078248.3944,177681161.0
2024-11-05,380.27,384.07,378.38,382.63,1016393.0,381.9393,26897.0,-0.0011950984535008,-0.0128988984340736,0.0142803631616473,0.0022591644910303,384.796,383.0284,18.7249,30.764,49.2567,23.3472,-61.2071,80.0,0.0,395.3745,384.796,374.2175,55290925.2899,175651489.0
2024-11-04,380.94,383.745,377.11,377.73,1230682.0,380.1002,31603.0,-0.0010105295738204,-0.0111003481948842,0.0144729077425432,0.0022591644910303,386.516,383.2276,23.128,46.7236,36.6474,25.3994,-126.8169,100.0,20.0,397.893,386.516,375.139,54787435.021,174631966.0
2024-11-01,382.51,389.33,380.63,384.5,1541961.0,385.478,33271.0,0.0015657603000505,0.0148331925675673,0.0135530215365868,0.0066038604065209,387.842,385.9764,50.4391,63.3359,50.5244,27.3334,-68.9216,0.0,40.0,395.8649,387.842,379.8191,55791877.5033,175867272.0
2024-10-31,390.08,393.74,381.67,385.1,1760550.0,386.4694,36132.0,0.0050289941169204,0.0500340831629173,0.0164314761657848,0.0076434857557479,386.774,386.7145,66.6038,64.0025,51.9183,33.7543,-1.8109,20.0,60.0,397.3177,386.774,376.2303,55962436.9516,177412967.0
2024-10-30,391.68,395.68,389.14,394.02,1336795.0,393.3942,29807.0,0.005963774048787,0.0600769458419647,0.015037679257117,0.0076434857557479,385.128,387.5218,72.9648,55.4233,77.2727,40.2887,96.4278,40.0,80.0,398.4157,385.128,371.8403,56733580.404,179199474.0
